% These files contain an estimate of the Atlantic Meridional Overturning Circulation (AMOC) volume and heat transports, computed using observations of
% temperature, salinity and subsurface velocity from the Argo array of profiling floats (DOI: 10.17882/42182#116315), and satellite-based observations
% of sea level from altimetry (DOI: 10.48670/moi-00148 and DOI: 10.48670/moi-00149).  The estimates are computed using the techniques of Willis (2010) 
% and Hobbs and Willis (2012). In addition, estimates of wind stress at the surface were estimated from European Center for Medium Range Weather 
% Forecast, ERA5 analysis (DOI: 10.24381/cds.143582cf).
%
% Note that in all files, although there are 12 time-steps per year, each time step represents a 3-month average, so the time series is over sampled.
%
%If you use these data please cite:
%
%Willis, J. K., and Hobbs, W. R., Atlantic Meridional Overturning Circulation Near 41N from Altimetry and Argo Observations. Dataset access [YYYY-MM-DD] at 10.5281/zenodo.8170366.
%
%References & Acknowledgements:
%
%Hobbs, W. R., and J. K. Willis (2012), Midlatitude North Atlantic heat transport: A time series based on satellite and drifter data. J. Geophys. Res., 117,
%C01008, doi:10.1029/2011JC007039.
%
%Willis, J. K. (2010), Can in situ floats and satellite altimeters detect long-term changes in Atlantic Ocean overturning?, Geophys.  Res. Lett., 37, 
%L06602, doi:10.1029/2010GL042372. http://www.agu.org/pubs/crossref/2010/2010GL042372.shtml
%
%This study has been conducted using E.U. Copernicus Marine Service Information; https://doi.org/10.48670/moi-00149  and https://doi.org/10.48670/moi-00148
%
%
%Column 1: Decimal year
%Column 2: Ekman Volume Transport (Sverdrups)
%Column 3: Northward Geostrophic Transport (Sverdrups)
%Column 4: Meridional Overturning Volume Transport (Sverdrups)
%Column 5: Meridional Overturning Heat Transport (PetaWatts)
%  Year,  Ekman (Sv),  Geos (Sv),  MOC (Sv),  MOC (PW)
   2.0020417e+03,  -6.4954948e+00,   1.4949757e+01,   8.4544582e+00,   2.1517599e-01
   2.0021250e+03,  -6.5875893e+00,   1.6141646e+01,   9.5541582e+00,   2.4317084e-01
   2.0022083e+03,  -3.6611505e+00,   1.6584530e+01,   1.2923428e+01,   4.1532549e-01
   2.0022917e+03,  -3.5963757e+00,   1.5515046e+01,   1.1918749e+01,   3.7791634e-01
   2.0023750e+03,  -2.7942011e+00,   1.3092672e+01,   1.0298446e+01,   3.2360378e-01
   2.0024583e+03,  -2.3219855e+00,   1.1337388e+01,   9.0152760e+00,   2.9345599e-01
   2.0025417e+03,  -1.1605530e+00,   1.1718497e+01,   1.0557974e+01,   3.9537308e-01
   2.0026250e+03,  -9.5918268e-01,   1.2738862e+01,   1.1779565e+01,   4.1176602e-01
   2.0027083e+03,  -1.4646028e+00,   1.3842158e+01,   1.2377447e+01,   4.1881782e-01
   2.0027917e+03,  -4.1823730e+00,   1.4181362e+01,   9.9989042e+00,   2.2902927e-01
   2.0028750e+03,  -6.2860465e+00,   1.6774866e+01,   1.0488682e+01,   3.1578532e-01
   2.0029583e+03,  -7.3537436e+00,   1.6200721e+01,   8.8470097e+00,   2.9186732e-01
   2.0030417e+03,  -7.1925745e+00,   1.6533999e+01,   9.3415022e+00,   2.9147285e-01
   2.0031250e+03,  -5.7489190e+00,   1.5316821e+01,   9.5679951e+00,   2.5148055e-01
   2.0032083e+03,  -4.3985133e+00,   1.5902418e+01,   1.1503904e+01,   3.4719604e-01
   2.0032917e+03,  -2.2807558e+00,   1.4952741e+01,   1.2672070e+01,   4.3927690e-01
