num,generator,marg_cost,capacity
0,Solar,0.0,2200.74953942554346
1,Offwind,0.0,1594.7
2,Onwind,0.0,2060.5161789532713
3,Biomass,6.0,660.981967213114757
4,Nuclear,8.0,1308.5
5,Lignite,10.0,1595.9833333333333
6,Coal,25.0,1595.509375
7,OCGT,50.0,1076.35
8,CCGT,75.0,1040.27825806451614
9,Oil,200.0,11000000
