timesteps,base,flex+1,flex+2,flex+4
01/01/2024 00:00,788.843795,500.9190413,381.3598342,356.4034805
01/01/2024 01:00,755.1622869,479.5311457,365.0767951,341.1860106
01/01/2024 02:00,725.5607993,460.7340798,350.7662073,327.8119139
01/01/2024 03:00,708.0969459,449.6444613,342.3234557,319.9216596
01/01/2024 04:00,681.5341346,432.7769674,329.4818901,307.9204517
01/01/2024 05:00,632.5568175,401.6761704,305.804222,285.7922605
01/01/2024 06:00,632.915313,401.9038165,305.9775337,285.9542306
01/01/2024 07:00,643.4823954,408.6139571,311.0860999,290.72849
01/01/2024 08:00,683.2924698,433.8935174,330.3319423,308.7148761
01/01/2024 09:00,729.9139592,463.4983542,352.8707055,329.7786928
01/01/2024 10:00,781.1788192,496.0517503,377.6542668,352.940407
01/01/2024 11:00,800.5887912,508.377162,387.0378529,361.7099272
01/01/2024 12:00,790.0046376,501.6561811,381.9210337,356.9279549
01/01/2024 13:00,781.4348875,496.2143547,377.7780608,353.0560999
01/01/2024 14:00,779.8472644,495.2062075,377.0105379,352.3388041
01/01/2024 15:00,806.9563546,512.4205908,390.1161973,364.5868234
01/01/2024 16:00,877.4092608,557.1584749,424.1760566,396.4177906
01/01/2024 17:00,890.5199542,565.4838189,430.51431,402.341266
01/01/2024 18:00,876.4874151,556.5730991,423.7303981,396.0012963
01/01/2024 19:00,845.6397288,536.9846919,408.8173461,382.0641609
01/01/2024 20:00,834.3215129,529.7975785,403.3456508,376.9505357
01/01/2024 21:00,844.4276725,536.2150312,408.2313878,381.5165479
01/01/2024 22:00,801.8349899,509.1685033,387.6403171,362.2729659
01/01/2024 23:00,750.262848,476.4199819,362.708203,338.9724202
