Variable,Description
geo_id,geo code
zipcode,five digit zip code tabulation area census code
population,the total count of the population for this segment.
minimum_age,"the minimum age in the age range. if null, this indicates the row as a total for male, female, or overall population."
maximum_age,"the maximum age in the age range. if null, this indicates the row as having no maximum (such as 85 and over) or the row is a total of the male, female, or overall population."
gender,"male or female. if empty, the row is a total population summary."
