Variable,Description
unitid,unique identification number of the institution
xugpo9_n,imputation field for ugpo9_n - number receiving post-9/11 gi bill benefits - undergraduate students
ugpo9_n,number receiving post-9/11 gi bill benefits - undergraduate students
xugpo9_t,imputation field for ugpo9_t - total amount of post-9/11 gi bill benefits awarded - undergraduate students
ugpo9_t,total amount of post-9/11 gi bill benefits awarded - undergraduate students
xugpo9_a,imputation field for ugpo9_a - average amount of post-9/11 gi bill benefits awarded - undergraduate students
ugpo9_a,average amount of post-9/11 gi bill benefits awarded - undergraduate students
xgpo9_n,imputation field for gpo9_n - number receiving post-9/11 gi bill benefits - graduate students
gpo9_n,number receiving post-9/11 gi bill benefits - graduate students
xgpo9_t,imputation field for gpo9_t - total amount of post-9/11 gi bill benefits awarded - graduate students
gpo9_t,total amount of post-9/11 gi bill benefits awarded - graduate students
xgpo9_a,imputation field for gpo9_a - average amount of post-9/11 gi bill benefits awarded - graduate students
gpo9_a,average amount of post-9/11 gi bill benefits awarded - graduate students
xpo9_n,imputation field for po9_n - number receiving post-9/11 gi bill benefits - all students
po9_n,number receiving post-9/11 gi bill benefits - all students
xpo9_t,imputation field for po9_t - total amount of post-9/11 gi bill benefits awarded - all students
po9_t,total amount of post-9/11 gi bill benefits awarded - all students
xpo9_a,imputation field for po9_a - average amount of post-9/11 gi bill benefits awarded - all students
po9_a,average amount of post-9/11 gi bill benefits awarded - all students
xugdod_n,imputation field for ugdod_n - number receiving department of defense tuition assistance program benefits - undergraduate students
ugdod_n,number receiving department of defense tuition assistance program benefits - undergraduate students
xugdod_t,imputation field for ugdod_t - total amount of department of defense tuition assistance program benefits awarded - undergraduate students
ugdod_t,total amount of department of defense tuition assistance program benefits awarded - undergraduate students
xugdod_a,imputation field for ugdod_a - average amount of department of defense tuition assistance program benefits awarded- undergraduate students
ugdod_a,average amount of department of defense tuition assistance program benefits awarded- undergraduate students
xgdod_n,imputation field for gdod_n - number receiving department of defense tuition assistance program benefits - graduate students
gdod_n,number receiving department of defense tuition assistance program benefits - graduate students
xgdod_t,imputation field for gdod_t - total amount of department of defense tuition assistance program benefits awarded - graduate students
gdod_t,total amount of department of defense tuition assistance program benefits awarded - graduate students
xgdod_a,imputation field for gdod_a - average amount of department of defense tuition assistance program benefits awarded - graduate students
gdod_a,average amount of department of defense tuition assistance program benefits awarded - graduate students
xdod_n,imputation field for dod_n - number receiving department of defense tuition assistance program benefits - all students
dod_n,number receiving department of defense tuition assistance program benefits - all students
xdod_t,imputation field for dod_t - total amount of department of defense tuition assistance program benefits awarded - all students
dod_t,total amount of department of defense tuition assistance program benefits awarded - all students
xdod_a,imputation field for dod_a - average amount of department of defense tuition assistance program benefits awarded - all students
dod_a,average amount of department of defense tuition assistance program benefits awarded - all students;
