Variable,Description
stnam,state name
fipst,the two digit american national standards institute (ansi) code for the state
leaid,local education agency (district) nces id
leanm,local education agency (district) name
ncessch,12 digit school nces id
schnam,school name
all_cohort_1213,total number of students in the graduation cohort
all_rate_1213,percentage (or range of percentage) of students in the cohort graduating with a high school diploma within 4 years
mam_ cohort_1213,number of native american students in the graduation cohort
mam_ rate_1213,percentage (or range of percentage) of native american students in the cohort graduating with a high school diploma within 4 years
mas_ cohort_1213,number of asian/pacific islander students in the graduation cohort
mas_ rate_1213,percentage (or range of percentage) of asian/pacific islander students in the cohort graduating with a high school diploma within 4 years
mbl_ cohort_1213,number of black students in the graduation cohort
mbl_ rate_1213,percentage (or range of percentage) of black students in the cohort graduating with a high school diploma within 4 years
mhi_ cohort_1213,number of hispanic students in the graduation cohort
mhi_ rate_1213,percentage(or range of percentage) of hispanic students in the cohort graduating with a high school diploma within 4 years
mtr_ cohort_1213,number of students with two or more races in the graduation cohort
mtr_ rate_1213,percentage (or range of percentage) of students with two or more races in the cohort graduating with a high school diploma within 4 years
mwh_ cohort_1213,number of white students in the graduation cohort
mwh_ rate_1213,percentage (or range of percentage) of white students in the cohort graduating with a high school diploma within 4 years
cwd_ cohort_1213,number of children with disabilities in the graduation cohort
cwd_ rate_1213,percentage (or range of percentage) of children with disabilities in the cohort graduating with a high school diploma within 4 years
ecd_ cohort_1213,number of economically disadvantaged students in the graduation cohort
ecd_ rate_1213,percentage (or range of percentage) of economically disadvantaged students in the cohort graduating with a high school diploma within 4 years
lep_ cohort_1213,number of limited english proficient students in the graduation cohort
lep_ rate_1213,percentage (or range of percentage) of limited english proficient students in the cohort graduating with a high school diploma within 4 years
date_cur,the date that the data are current as of
