Variable,Description
pufs084,puf summer ever enrolled rep wt 84
pufs085,puf summer ever enrolled rep wt 85
pufs086,puf summer ever enrolled rep wt 86
pufs087,puf summer ever enrolled rep wt 87
pufs088,puf summer ever enrolled rep wt 88
pufs089,puf summer ever enrolled rep wt 89
pufs090,puf summer ever enrolled rep wt 90
pufs091,puf summer ever enrolled rep wt 91
pufs092,puf summer ever enrolled rep wt 92
pufs093,puf summer ever enrolled rep wt 93
pufs094,puf summer ever enrolled rep wt 94
pufs095,puf summer ever enrolled rep wt 95
pufs096,puf summer ever enrolled rep wt 96
pufs097,puf summer ever enrolled rep wt 97
pufs098,puf summer ever enrolled rep wt 98
pufs099,puf summer ever enrolled rep wt 99
pufs100,puf summer ever enrolled rep wt 100
