Variable,Description
unitid,unique identification number of the institution
grtype,cohort data
chrtstat,graduation rate status in cohort
section,section of survey form
cohort,cohort
line,original line number of survey form
xgrtotlt,imputation field for grtotlt - grand total
grtotlt,grand total
xgrtotlm,imputation field for grtotlm - total men
grtotlm,total men
xgrtotlw,imputation field for grtotlw - total women
grtotlw,total women
xgraiant,imputation field for graiant - american indian or alaska native total
graiant,american indian or alaska native total
xgraianm,imputation field for graianm - american indian or alaska native men
graianm,american indian or alaska native men
xgraianw,imputation field for graianw - american indian or alaska native women
graianw,american indian or alaska native women
xgrasiat,imputation field for grasiat - asian total
grasiat,asian total
xgrasiam,imputation field for grasiam - asian men
grasiam,asian men
xgrasiaw,imputation field for grasiaw - asian women
grasiaw,asian women
xgrbkaat,imputation field for grbkaat - black or african american total
grbkaat,black or african american total
xgrbkaam,imputation field for grbkaam - black or african american men
grbkaam,black or african american men
xgrbkaaw,imputation field for grbkaaw - black or african american women
grbkaaw,black or african american women
xgrhispt,imputation field for grhispt - hispanic total
grhispt,hispanic total
xgrhispm,imputation field for grhispm - hispanic men
grhispm,hispanic men
xgrhispw,imputation field for grhispw - hispanic women
grhispw,hispanic women
xgrnhpit,imputation field for grnhpit - native hawaiian or other pacific islander total
grnhpit,native hawaiian or other pacific islander total
xgrnhpim,imputation field for grnhpim - native hawaiian or other pacific islander men
grnhpim,native hawaiian or other pacific islander men
xgrnhpiw,imputation field for grnhpiw - native hawaiian or other pacific islander women
grnhpiw,native hawaiian or other pacific islander women
xgrwhitt,imputation field for grwhitt - white total
grwhitt,white total
xgrwhitm,imputation field for grwhitm - white men
grwhitm,white men
xgrwhitw,imputation field for grwhitw - white women
grwhitw,white women
xgr2mort,imputation field for gr2mort - two or more races total
gr2mort,two or more races total
xgr2morm,imputation field for gr2morm - two or more races men
gr2morm,two or more races men
xgr2morw,imputation field for gr2morw - two or more races women
gr2morw,two or more races women
xgrunknt,imputation field for grunknt - race/ethnicity unknown total
grunknt,race/ethnicity unknown total
xgrunknm,imputation field for grunknm - race/ethnicity unknown men
grunknm,race/ethnicity unknown men
xgrunknw,imputation field for grunknw - race/ethnicity unknown women
grunknw,race/ethnicity unknown women
xgrnralt,imputation field for grnralt - nonresident alien total
grnralt,nonresident alien total
xgrnralm,imputation field for grnralm - nonresident alien men
grnralm,nonresident alien men
xgrnralw,imputation field for grnralw - nonresident alien women
grnralw,nonresident alien women
