Variable,Description
totrooms,total number of rooms
perpovlvl,household income as percent of poverty threshold (rounded)
jacprimary,edit flag for acprimary
jacsecndry,edit flag for acsecndry
jadequacy,edit flag for adequacy
jairrate,edit flag for airrate
jbathexclu,edit flag for bathexclu
jbathrooms,edit flag for bathrooms
jbedrooms,edit flag for bedrooms
jbld,edit flag for bld
jcellphone,edit flag for cellphone
jchemstor,edit flag for chemstor
jcold,edit flag for cold
jcoldcost,edit flag for coldcost
jcoldeq,edit flag for coldeq
jcoldeqfreq,edit flag for coldeqfreq
jcoldhtcap,edit flag for coldhtcap
jcoldinsul,edit flag for coldinsul
jcoldother,edit flag for coldother
jcoldutil,edit flag for coldutil
jcondo,edit flag for condo
jcookfuel,edit flag for cookfuel
jcooktype,edit flag for cooktype
jdining,edit flag for dining
jdishh,edit flag for dishh
jdishwash,edit flag for dishwash
jdpgenert,edit flag for dpgenert
jdryer,edit flag for dryer
jdwnpaypct,edit flag for dwnpaypct
jelecamt,edit flag for elecamt
jentrysys,edit flag for entrysys
jerheatrel,edit flag for erheatrel
jfincp,edit flag for fincp
jfinrooms,edit flag for finrooms
jfireplace,edit flag for fireplace
jfirsthome,edit flag for firsthome
jfloorhole,edit flag for floorhole
jfndcrumb,edit flag for fndcrumb
jfoundtype,edit flag for foundtype
jfridge,edit flag for fridge
jfs,edit flag for fs
jfuseblow,edit flag for fuseblow
jgarage,edit flag for garage
jgasamt,edit flag for gasamt
jgrandhh,edit flag for grandhh
jheatfuel,edit flag for heatfuel
jheattype,edit flag for heattype
jhhadltkids,edit flag for hhadltkids
jhhage,edit flag for hhage
jhhcare,edit flag for hhcare
jhhcitshp,edit flag for hhcitshp
jhhdthsp,edit flag for hhdthsp
jhhenroll,edit flag for hhenroll
jhherrnd,edit flag for hherrnd
jhhfntvty,edit flag for hhfntvty
jhhgen,edit flag for hhgen
jhhgrad,edit flag for hhgrad
jhhhear,edit flag for hhhear
jhhinusyr,edit flag for hhinusyr
jhhldasthma,edit flag for hhldasthma
jhhldasthmaer,edit flag for hhldasthmaer
jhhmar,edit flag for hhmar
jhhmemry,edit flag for hhmemry
jhhmntvty,edit flag for hhmntvty
jhhmove,edit flag for hhmove
jhhnatvty,edit flag for hhnatvty
jhholdkids,edit flag for hholdkids
jhhprnthome,edit flag for hhprnthome
jhhprntpurch,edit flag for hhprntpurch
jhhrace,edit flag for hhrace
jhhraceas,edit flag for hhraceas
jhhracepi,edit flag for hhracepi
jhhsee,edit flag for hhsee
jhhsex,edit flag for hhsex
jhhsogig,edit flag for hhsogig
jhhsogilgbt,edit flag for hhsogilgbt
jhhsogiso,edit flag for hhsogiso
jhhspan,edit flag for hhspan
jhhwalk,edit flag for hhwalk
jhhyngkids,edit flag for hhyngkids
jhiafford,edit flag for hiafford
jhibehindfrq,edit flag for hibehindfrq
jhieviclk,edit flag for hieviclk
jhievicnote,edit flag for hievicnote
jhievictht,edit flag for hievictht
jhihalf,edit flag for hihalf
jhihmlessness,edit flag for hihmlessness
jhilveforc,edit flag for hilveforc
jhimortforc,edit flag for himortforc
jhimovfrc,edit flag for himovfrc
jhincp,edit flag for hincp
jhinforc,edit flag for hinforc
jhinowhere,edit flag for hinowhere
jhinumove,edit flag for hinumove
jhiprevnum,edit flag for hiprevnum
jhistpay,edit flag for histpay
jhiworry,edit flag for hiworry
jhlthrate,edit flag for hlthrate
jhmraccess,edit flag for hmraccess
jhmreneff,edit flag for hmreneff
jhmrsale,edit flag for hmrsale
jhoa,edit flag for hoa
jhoaamt,edit flag for hoaamt
jhot,edit flag for hot
jhotclcap,edit flag for hotclcap
jhotcost,edit flag for hotcost
jhoteq,edit flag for hoteq
jhoteqfreq,edit flag for hoteqfreq
jhotinsul,edit flag for hotinsul
jhotleak,edit flag for hotleak
jhotother,edit flag for hotother
jhotutil,edit flag for hotutil
jhotwater,edit flag for hotwater
jhowbuy,edit flag for howbuy
jhrate,edit flag for hrate
jhshldtype,edit flag for hshldtype
jhudsub,edit flag for hudsub
jinsuramt,edit flag for insuramt
jkitchens,edit flag for kitchens
jkitchsink,edit flag for kitchsink
jkitexclu,edit flag for kitexclu
jlandline,edit flag for landline
jlaundy,edit flag for laundy
jleadinsp,edit flag for leadinsp
jleaki,edit flag for leaki
jleakidk,edit flag for leakidk
jleakioth,edit flag for leakioth
jleakipipe,edit flag for leakipipe
jleakiplum,edit flag for leakiplum
jleakiwath,edit flag for leakiwath
jleako,edit flag for leako
jleakobase,edit flag for leakobase
jleakooth,edit flag for leakooth
jleakoroof,edit flag for leakoroof
jleakowall,edit flag for leakowall
jlotamt,edit flag for lotamt
jlotsize,edit flag for lotsize
jmaintamt,edit flag for maintamt
jmarketval,edit flag for marketval
jmgronsite,edit flag for mgronsite
jmhanchor,edit flag for mhanchor
jmhmove,edit flag for mhmove
