Variable,Description
stnam,state name
fipst,the two-digit american national standards institute (ansi) code for state
leaid,district nces id
st_leaid,"local education agency (district) state id
assigned by state"
leanm,district name
schnam,school name (not in district file)
ncessch,school nces id (not in district file)
st_schid,school state id (not in district file)
date_cur,date of data snapshot
category,"category/subgroup
• all, mam, mas, mhi, mbl, mwh, mtr, cwd, ecd, lep, hom, fcs, mil"
cohort_count,total number of students within the four-year adjusted-cohort
rate,rate of students who graduated within the four-year adjusted-cohort
school_year,school year
cohort,cohort
