dataset_name,preset,target_activation_rate,activation_rate,activation_rate_error,ema_activation_rate,threshold,avg_processing_time,total_energy_spent,baseline_energy_cost,actual_energy_cost,absolute_energy_savings,estimated_energy_savings_pct,energy_efficiency,total_inputs,activations,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,balanced_accuracy,false_positive_rate,false_negative_rate,prevalence,description
breast_cancer,aggressive,0.25,0.11423550087873462,0.13576449912126537,0.15167238180635403,0.88,0.0026388848152732363,875.0302393876507,6031.4,941.0,5090.4,84.39831548230924,0.8439831548230925,569,65,17,48,340,164,0.26153846153846155,0.047619047619047616,0.7735849056603774,0.08056872037914692,0.3181019332161687,0.41060197663971254,0.22641509433962265,0.9523809523809523,0.6274165202108963,Breast Cancer Wisconsin (enriched anomaly features + probe hint)
breast_cancer,auto_tuned,0.15,0.11247803163444639,0.037521968365553604,0.3098673511416485,0.88,0.002669525402317065,836.5822418233435,6031.4,930.9,5100.5,84.56577245747256,0.8456577245747257,569,64,12,52,345,160,0.1875,0.03361344537815126,0.7547169811320755,0.057007125890736345,0.3022847100175747,0.3941652132551134,0.24528301886792453,0.9663865546218487,0.6274165202108963,Breast Cancer Wisconsin (enriched anomaly features + probe hint)
breast_cancer,conservative,0.25,0.029876977152899824,0.22012302284710017,0.0007778571957936203,0.92,0.00277003155328053,474.56214562307616,6031.4,456.2,5575.2,92.43625029014822,0.9243625029014823,569,17,2,15,355,197,0.11764705882352941,0.0056022408963585435,0.9292452830188679,0.0106951871657754,0.34973637961335674,0.4674237619576132,0.07075471698113207,0.9943977591036415,0.6274165202108963,Breast Cancer Wisconsin (enriched anomaly features + probe hint)
breast_cancer,custom_breast_probe,0.18,0.18980667838312829,0.009806678383128292,0.09615040374500702,0.87,0.0026103090409408747,940.7493150483747,6031.4,1375.3,4656.099999999999,77.19766555028683,0.7719766555028683,569,108,42,66,315,146,0.3888888888888889,0.11764705882352941,0.6886792452830188,0.18064516129032257,0.3304042179261863,0.40316315205327413,0.3113207547169811,0.8823529411764706,0.6274165202108963,Breast Cancer Wisconsin (enriched anomaly features + probe hint)
breast_cancer,custom_health,0.15,0.16695957820738136,0.016959578207381365,0.4279941497105417,0.85,0.0026264073112889676,920.1298286335925,6031.4,1244.0,4787.4,79.37460622740988,0.7937460622740988,569,95,29,66,328,146,0.30526315789473685,0.08123249299719888,0.6886792452830188,0.12831858407079647,0.30755711775043937,0.3849558691401089,0.3113207547169811,0.9187675070028011,0.6274165202108963,Breast Cancer Wisconsin (enriched anomaly features + probe hint)
breast_cancer,energy_saver,0.25,0.029876977152899824,0.22012302284710017,0.0007778571957936203,0.92,0.00277003155328053,474.56214562307616,6031.4,456.2,5575.2,92.43625029014822,0.9243625029014823,569,17,2,15,355,197,0.11764705882352941,0.0056022408963585435,0.9292452830188679,0.0106951871657754,0.34973637961335674,0.4674237619576132,0.07075471698113207,0.9943977591036415,0.6274165202108963,Breast Cancer Wisconsin (enriched anomaly features + probe hint)
breast_cancer,tuned_v2,0.25,0.0632688927943761,0.18673110720562391,0.06673242559833942,0.9,0.0027300669069032293,668.6321340600725,6031.4,648.0999999999999,5383.299999999999,89.2545677620453,0.892545677620453,569,36,4,32,353,180,0.1111111111111111,0.011204481792717087,0.8490566037735849,0.02035623409669211,0.3233743409490334,0.430130542783151,0.1509433962264151,0.988795518207283,0.6274165202108963,Breast Cancer Wisconsin (enriched anomaly features + probe hint)
financial,aggressive,0.25,0.0545,0.1955,0.18889645018440798,0.88,0.0024420791365449487,2062.2171122381483,21200.0,2100.8999999999996,19099.1,90.09009433962264,0.9009009433962264,2000,109,24,85,122,1769,0.22018348623853212,0.1643835616438356,0.9541531823085221,0.18823529411764703,0.8965,0.5592683719761788,0.04584681769147789,0.8356164383561644,0.073,Financial time series (volatility spikes marked as 1)
financial,auto_tuned,0.15,0.0315,0.1185,0.25008532927580707,0.88,0.0024284104483768506,1618.2594329909655,21200.0,1636.3,19563.7,92.2816037735849,0.9228160377358491,2000,63,14,49,132,1805,0.2222222222222222,0.0958904109589041,0.9735706580366774,0.1339712918660287,0.9095,0.5347305344977907,0.026429341963322545,0.9041095890410958,0.073,Financial time series (volatility spikes marked as 1)
financial,conservative,0.25,0.0105,0.2395,0.10000265621044142,0.92,0.002358496744382341,1200.2137265281167,21200.0,1212.1,19987.9,94.28254716981132,0.9428254716981133,2000,21,1,20,145,1834,0.047619047619047616,0.00684931506849315,0.9892125134843581,0.011976047904191617,0.9175,0.49803091427642565,0.010787486515641856,0.9931506849315068,0.073,Financial time series (volatility spikes marked as 1)
financial,energy_saver,0.25,0.0105,0.2395,0.10000265621044142,0.92,0.002358496744382341,1200.2137265281167,21200.0,1212.1,19987.9,94.28254716981132,0.9428254716981133,2000,21,1,20,145,1834,0.047619047619047616,0.00684931506849315,0.9892125134843581,0.011976047904191617,0.9175,0.49803091427642565,0.010787486515641856,0.9931506849315068,0.073,Financial time series (volatility spikes marked as 1)
financial,tuned_v2,0.25,0.0175,0.23249999999999998,0.10005380777319309,0.9,0.0024114260562799416,1341.099647879192,21200.0,1353.5,19846.5,93.61556603773586,0.9361556603773585,2000,35,5,30,141,1824,0.14285714285714285,0.03424657534246575,0.9838187702265372,0.055248618784530384,0.9145,0.5090326727845015,0.016181229773462782,0.9657534246575342,0.073,Financial time series (volatility spikes marked as 1)
heart_disease,aggressive,0.25,0.139,0.11099999999999999,0.24893028582953916,0.88,0.0026317302897227207,1557.3326924664236,10600.0,1903.8999999999999,8696.1,82.03867924528302,0.8203867924528302,1000,139,96,43,440,421,0.6906474820143885,0.1791044776119403,0.9073275862068966,0.28444444444444444,0.517,0.5432160319094185,0.09267241379310345,0.8208955223880597,0.536,UCI heart disease tabular dataset (recall-focused preset)
heart_disease,auto_tuned,0.15,0.096,0.05399999999999999,0.25932482932953305,0.88,0.0026522686039672223,1415.2086258671675,10600.0,1469.6,9130.4,86.13584905660377,0.8613584905660377,1000,96,74,22,462,442,0.7708333333333334,0.13805970149253732,0.9525862068965517,0.23417721518987344,0.516,0.5453229541945446,0.04741379310344827,0.8619402985074627,0.536,UCI heart disease tabular dataset (recall-focused preset)
heart_disease,conservative,0.25,0.019,0.231,0.10000265621121175,0.92,0.0026134802981688117,700.5245026608296,10600.0,691.9,9908.1,93.47264150943396,0.9347264150943396,1000,19,12,7,524,457,0.631578947368421,0.022388059701492536,0.9849137931034483,0.043243243243243246,0.469,0.5036509264024704,0.015086206896551725,0.9776119402985075,0.536,UCI heart disease tabular dataset (recall-focused preset)
heart_disease,custom_health_hd82,0.15,0.139,0.010999999999999982,0.3953412574975214,0.88,0.0026549909512073137,1569.0130013733906,10600.0,1903.8999999999999,8696.1,82.03867924528302,0.8203867924528302,1000,139,105,34,431,430,0.7553956834532374,0.1958955223880597,0.9267241379310345,0.3111111111111111,0.535,0.561309830159547,0.07327586206896551,0.8041044776119403,0.536,UCI heart disease tabular dataset (recall-focused preset)
heart_disease,energy_saver,0.25,0.019,0.231,0.10000265621121175,0.92,0.0026134802981688117,700.5245026608296,10600.0,691.9,9908.1,93.47264150943396,0.9347264150943396,1000,19,12,7,524,457,0.631578947368421,0.022388059701492536,0.9849137931034483,0.043243243243243246,0.469,0.5036509264024704,0.015086206896551725,0.9776119402985075,0.536,UCI heart disease tabular dataset (recall-focused preset)
heart_disease,tuned_v2,0.25,0.066,0.184,0.10719511502118505,0.9,0.002655078563382823,1192.0955910735622,10600.0,1166.6,9433.4,88.99433962264152,0.8899433962264152,1000,66,47,19,489,445,0.7121212121212122,0.08768656716417911,0.959051724137931,0.15614617940199338,0.492,0.5233691456510551,0.040948275862068964,0.9123134328358209,0.536,UCI heart disease tabular dataset (recall-focused preset)
iot_sensors,aggressive,0.25,0.08466666666666667,0.16533333333333333,0.14111713068039342,0.88,0.0026740909983351898,1967.0622091544833,15900.0,2032.7,13867.3,87.21572327044025,0.8721572327044025,1500,127,74,53,76,1297,0.5826771653543307,0.49333333333333335,0.9607407407407408,0.5342960288808665,0.914,0.727037037037037,0.03925925925925926,0.5066666666666667,0.1,IoT multisensor monitoring (rare faults labeled)
