Variable,Description
basmid,unique child identifier
allgradex,current grade
edcpub,type of school - public
edccat,type of school - private catholic
edcrel,type of school - private religious not catholic
edcpri,type of school - private not religious
edcintk12,type of school - full time online grade k through 12
edcintcol,type of school - online college or university
edccol,type of school - regular college or university
edchsfl,type of school - homeschooled
homeschlx,homeschooled for some classes or subjects
hmscharr,homeschooling arrangement
hscoop,homeschool instruction by homeschool group
hswhox,person providing homeschool instruction
hstutor,homeschool instruction by tutor
hsintnet,internet homeschool instruction
onlnap,"online, virtual or cyber enrollment - advanced placement"
onlnsc,"online, virtual or cyber enrollment - specialized course"
onlneh,"online, virtual or cyber enrollment - extra help"
onlnls,"online, virtual or cyber enrollment - learning style"
onlnpr,"online, virtual or cyber enrollment - prefers online/virtual"
onlnhs,"online, virtual or cyber enrollment - began homeschooling to enroll in online/virtual"
onlnoth,"online, virtual or cyber enrollment - another reason"
onlbully,"online, virtual or cyber enrollment - bullying"
onlhlth,"online, virtual or cyber enrollment - physical or mental health problem"
onlspnds,"online, virtual or cyber enrollment - other special needs"
onlavdpub,"online, virtual or cyber enrollment - concerns about public school"
hsimponli,"most important reason for online, virtual or cyber enrollment"
hsintpub,homeschool online instruction provided by - local public school
hsintpri,homeschool online instruction provided by - private school
hsintcol,homeschool online instruction provided by - college
hsintvrt,homeschool online instruction provided by - online academy instruction
hsintcmp,homeschool online instruction provided by - courses purchased online
hsintk12,homeschool online instruction provided by - k-12 public or private school
hsintind,homeschool online instruction provided by - independent instructor
hsintoh,homeschool online instruction provided by - someplace else
hsintnum,total online courses
hsintfee,total tuition for online courses
hsinthrs,homeschooling hours spent online
hsstyl,homeschool teaching style
hskactiv,participated in activities while homeschooled
hsintlib,"online, virtual or cyber resources - public library resource"
hsintcat,"online, virtual or cyber resources - specialized provider of homeschooling materials"
hsintrel,"online, virtual or cyber resources - affiliated with a particular religion"
hsintsch,"online, virtual or cyber resources - local public school or school district"
hsintfrwb,"online, virtual or cyber resources - free website"
hsintweb,"online, virtual or cyber resources - cyber educational resources"
hsintoth,"online, virtual or cyber resources - other sources"
hsclibrx,homeschool physical curriculum source - library
hschspubx,homeschool physical curriculum source - homeschool catalog
hschsrelx,homeschool physical curriculum source - catalog affiliation
hscpublx,homeschool physical curriculum source - public school or district
hsccnvx,homeschool physical curriculum source - homeschooling convention
hscevtx,homeschool physical curriculum source - curriculum swap or exchange
hscfmly,homeschool physical curriculum source - other homeschool families
hscoth,homeschool physical curriculum source - other source
hscours,courses online or in person
homekx,homeschooled in kindergarten
home1,homeschooled in first grade
home2,homeschooled in second grade
home3,homeschooled in third grade
home4,homeschooled in fourth grade
home5,homeschooled in fifth grade
home6,homeschooled in sixth grade
home7,homeschooled in seventh grade
home8,homeschooled in eighth grade
home9,homeschooled in ninth grade
home10,homeschooled in tenth grade
home11,homeschooled in eleventh grade
home12,homeschooled in twelfth grade
hssafetyx,reason to homeschool - school environment
hsdissatx,reason to homeschool - dissatisfied with instruction
hsrelgon,reason to homeschool - religious instruction
hsmoral,reason to homeschool - moral instruction
hsdisablx,reason to homeschool - health problem
hsillx,reason to homeschool - temporary illness
hsspclndx,reason to homeschool - special needs
hsaltx,reason to homeschool - nontraditional education
hsfmly,reason to homeschool - emphasize family life together
hsotherx,reason to homeschool - other
hsbully,reason to homeschool - bullying
hsmostx,most important reason to homeschool
hssubj1,1st home instruction subject area
hssubj2,2nd home instruction subject area
hssubj3,3rd home instruction subject area
hssubj4,4th home instruction subject area
hssubj5,5th home instruction subject area
hssubj6,6th home instruction subject area
hssubj7,7th home instruction subject area
hssubj8,8th home instruction subject area
hssubj9,9th home instruction subject area
hssubj10,10th home instruction subject area
hsassnx,participate in homeschool activities
hsfreqx,participate in homeschool activities - times
hsnatl,member of homeschool organization
hsmlty,military family that frequently relocates
hsenrl,homeschooled child enrolled in school
distassi,district-assigned school
schrtschl,charter school
schlmagnet,magnet school
sneighbrx,moved to attend school
scchoice,choice in school attendance
spubchoix,district allows school choice
sconsidr,other schools considered
locale,reason for choosing school - convenient location
schlsafety,reason for choosing school - safety
schlstfquality,reason for choosing school - quality of staff
availcourse,reason for choosing school - curriculum focus
xtracurric,reason for choosing school - extracurricular options
studntchar,reason for choosing school - student body characteristics
studntperform,reason for choosing school - academic performance of student
religsor,reason for choosing school - religious orientation
specaledservs,reason for choosing school - quality or availability of special education
specalfacilts,reason for choosing school - special facilities
clssize,reason for choosing school - number of students in class
schlcost,reason for choosing school - cost
findschl,finding school - in my neighborhood
findfrnd,finding school - friend
findfam,finding school - family member
findnews,finding school - newspaper or magazine articles
findrpt,finding school - state report cards
findweb,finding school - school ratings website
findads,finding school - advertisements
findfly,finding school - flier
findstf,finding school - school or district staff
findchrc,finding school - church
findoth,finding school - other reason
s1stchoi,first choice school
ssamsc,same school since beginning of school year
schlhrswk,hours attend school each week
eintnet,"child enrolled in online, virtual or cyber courses"
advccrse,"online, virtual or cyber enrollment - advanced placement or college courses"
spclcrse,"online, virtual or cyber enrollment - specialized courses"
mkupcrse,"online, virtual or cyber enrollment - make up course"
addcrse,"online, virtual or cyber enrollment - earn additional credits"
help,"online, virtual or cyber enrollment - extra help in a course or subject"
conflct,"online, virtual or cyber enrollment - schedule conflict with the in-person courses"
disablx,"online, virtual or cyber enrollment - physical or mental health problem"
tempill,"online, virtual or cyber enrollment - temporary illness"
spclnd,"online, virtual or cyber enrollment - other special needs"
lrnstyle,"online, virtual or cyber enrollment - learning style"
nochoice,"online, virtual or cyber enrollment - was required"
schlplce,"online, virtual or cyber enrollment - school placement in online course"
onlinepref,"online, virtual or cyber enrollment - online course preference"
onlineoth,"online, virtual or cyber enrollment - other reason"
mostimpt,"most important reason for online, virtual or cyber enrollment"
spbsch,"online, virtual, or cyber instruction - public school instruction"
sprivt,"online, virtual, or cyber instruction - private school instruction"
sunivsch,"online, virtual, or cyber instruction - community college/university instruction"
scyber,"online, virtual, or cyber instruction - online academy instruction"
scompany,"online, virtual, or cyber instruction - courses purchased for instruction"
sothrsch,"online, virtual, or cyber instruction - another k-12 public or private school"
stutr,"online, virtual, or cyber instruction - independent instructor"
sothsch,"online, virtual, or cyber instruction - instruction from someplace else"
intnum,number of online courses
sinstfee,total tuition for online courses
inthrs,virtual/cyber instruction hours spent online
seenjoy,child enjoyment of school
segrades,child’s grades
seadplcxx,advanced placement enrollment
sebehavx,times contacted about behavior problems
seschwrk,times contacted about problems with school work
segbehav,times contacted about very good behavior
segwork,times contacted about very good school work
seabsnt,days absent
serepeat,whether grades repeated
sereptk,which grades repeated - kindergarten
serept1,which grades repeated - 1st grade
serept2,which grades repeated - 2nd grade
serept3,which grades repeated - 3rd grade
serept4,which grades repeated - 4th grade
serept5,which grades repeated - 5th grade
serept6,which grades repeated - 6th grade
serept7,which grades repeated - 7th grade
serept8,which grades repeated - 8th grade
serept9,which grades repeated - 9th grade
serept10,which grades repeated - 10th grade
serept11,which grades repeated - 11th grade
serept12,which grades repeated - 12th grade
sesusout,out of school suspension
sesuspin,in school suspension
seexpel,expelled
segradeq,description of school work
fssportx,participation in school activities - attend a school event
fsvol,participation in school activities - serve as a volunteer
fsmtng,participation in school activities - attend a school meeting
fsptmtng,participation in school activities - attend a parent - teacher organization meeting
fsatcnfn,participation in school activities - attend parent - teacher conference
fsfundrs,participation in school activities - participate in fundraising
fscommte,participation in school activities - serve on school committee
fscounslr,participation in school activities - meet with guidance counselor
fsfreq,times participated in school meetings
fsnotesx,school communication - receive notes or emails
fsmemo,school communication - receive newsletters
fsphonchx,school communication - receive phone calls
fsspperf,school provides child progress between report cards
fssphw,school provides information on homework help
fsspcour,school provides information on class placement
fssprole,school provides information on your expected role
fsspcoll,school provides information on college
fcschool,satisfaction with school
fcteachr,satisfaction with teachers
fcstds,satisfaction with academic standards
fcorder,satisfaction with discipline
fcsupprt,satisfaction with school staff/parent interaction
fhhome,days spent doing homework
fhwkhrs,hours spent doing homework
fhamount,adult’s feelings about amount of homework
fhcamt,child’s feelings about amount of homework
fhplace,place at home to do homework
fhcheckx,check for homework completion
fhhelp,days help with homework
fostory2x,"in the past week, child has been told a story"
focrafts,"in the past week, spent time on arts and crafts"
fogames,"in the past week, played board games"
fobuildx,"in the past week, worked on a project"
fosport,"in the past week, spent time playing sports"
forespon,"in the past week, discussed time management"
fohistx,"in the past week, discussed ethnic heritage"
fodinnerx,eaten the evening meal together in the past week
folibrayx,visited a library in the past month
fobookstx,visited a bookstore in the past month
foconcrtx,gone to a play in the past month
fomuseumx,visited an art gallery in the past month
fozoox,visited a zoo in the past month
fogroupx,attended a religious event in the past month
fosprtevx,attended a sporting event in the past month
hdhealth,health of child
hdintdis,intellectual disability
hdspeechx,speech or language impairment
hddistrbx,serious emotional disturbance
hddeafimx,deafness or another hearing impairment
hdblindx,blindness or another visual impairment
hdorthox,orthopedic impairment
hdautismx,autism
hdpddx,pervasive developmental disorder
hdaddx,attention deficit disorder
hdlearnx,learning disability
hddelayx,developmental delay
hdtrbrain,traumatic brain injury
hdotherx,another health impairment
hdiepx,services provided by iep
hdcommux,satisfaction with service provider communication
hdspcled,enrollment in special education classes
hdlearn,condition interferes with learning
hdplay,condition interferes with participation in sports
hdout,condition interferes with attending school regularly
hdfrnds,condition interferes with making friends
cdobmm,month child born
cdobyy,year child born
cplcbrth,country where child born
cmoveage,age of child when first moved to us
chispan,"child of spanish, hispanic, or latino origin"
camind,child race - american indian or alaska native
casian,child race - asian
cblack,child race - black or african american
cpaci,child race - native hawaiian or other pacific islander
cwhite,child race - white
chisprm,"child race - hispanic, race not reported"
csex,child sex
clivyn,child lives at another address
clivelswx,address where child spends most time
cspeakx,language spoken by child at home
