Variable,Description
geo_id,geolocation id
state_fips_code,state fips code
county_fips_code,county fips code
block_group_fips_code,block-group fips code
description,block-group fips code description
county_name,county name
state_name,state name
state,state abbreviation
year,year
area_deprivation_index_percent,percentage of area-level socioeconomic deprivation index
