Variable,Description
geo_code,geographic id
geo_label,geographic unit of analysis
population,number of units in denominator
year,data year
race,indicator of race
cohort,cohort label
eventname,numerator event: condition or procedure grouping
event_label,descriptive label for this event
observed,number of events actually found
o_e_ratio,observed:expected ratio
crude_rate,unadjusted rate
std_error,standard error for crude rate
uppercl,upper confidence label
lowercl,lower confidence label
percentile,percentile of the rate
adjusted_rate,adjusted rate
short_label,short label
cohort_web_label,cohort web label
geo_name,geopraphic name
