Variable,Description
year,year of survey
locationabbr,abbreviation of location
locationdesc,description of location
category,category of survey
topic,topic of survey
question,question asked in survey
datasource,source of data
data_value_unit,unit of data value
data_value_type,type of data value
data_value,data value
data_value_footnote_symbol,footnote symbol for data value
data_value_footnote,footnote for data value
data_value_std_err,standard error of the data value
low_confidence_limit,the lower limit of the confidence interval
high_confidence_limit,the upper limit of the confidence interval
sample_size,sample size used in sample
break_out,break out categories used
break_out_category,type break out assessed
geolocation,geographical information associated with sample
categoryid,category id
topicid,topic id
questionid,question id
locationid,location id
breakoutid,break out id
breakoutcategoryid,break out category id
