Variable,Description
year,year of prediction
date,date (day-month-year) of prediction
statefips,state fips code
countyfips,county fips code
pm25_max_pred,maximum estimated 24-hour average pm2.5 concentration in μg/m3 for the county
pm25_med_pred,median estimated 24-hour average pm2.5 concentration in μg/m3 for the county
pm25_mean_pred,mean estimated 24-hour average pm2.5 concentration in μg/m3 for the county
pm25_pop_pred,population-weighted estimated 24-hour average pm2.5 concentration in μg/m3 for the county
