Variable,Description
jintpmt,edit flag for intpmt
jintrate,edit flag for intrate
jloantype,edit flag for loantype
jmiscpmt,edit flag for miscpmt
jmortline,edit flag for mortline
jmortnew,edit flag for mortnew
jmortpurch,edit flag for mortpurch
jpmtamt,edit flag for pmtamt
jrefi,edit flag for refi
jtaxpmt,edit flag for taxpmt
control,control number
mortline,line number of mortgage
mortnew,mortgage new or assumed
loantype,type of loan
refi,refinance mortgage
intpmt,interest included in mortgage payment
taxpmt,property taxes included in mortgage payment
pmtamt,amount of mortgage payment
intrate,interest rate of mortgage
mortpurch,percentage of mortgage used for purchase of home
miscpmt,homeowners insurance and pmi included in mortgage payment
