Variable,Description
jjobcomp,edit flag for jobcomp
jjobcompyr,edit flag for jobcompyr
jjobcost,edit flag for jobcost
jjobdiy,edit flag for jobdiy
jjobfunds,edit flag for jobfunds
jjobtype,edit flag for jobtype
jjobworkyr,edit flag for jobworkyr
control,control number
jobtype,type of home improvement job
jobdiy,job was do-it-yourself
jobcost,cost of home improvement job
jobcomp,home improvement job is complete
jobcompyr,year home improvement job was completed
jobworkyr,year that the majority of home improvement expenses were incurred for this job
jobfunds,main source of funding for home improvement job
