region,face,plot_order,Hemisphere
dCa,lateral,1,R
mAmyg,lateral,2,R
rHipp,lateral,3,R
lAmyg,lateral,4,R
cHipp,lateral,5,R
cTtha,lateral,6,R
Otha,lateral,7,R
mPMtha,lateral,8,R
PPtha,lateral,9,R
lPFtha,lateral,10,R
Stha,lateral,11,R
rTtha,lateral,12,R
vCa,lateral,13,R
NAC,lateral,14,R
vmPu,lateral,15,R
GP,lateral,16,R
cHipp,lateral,17,R
dlPu,lateral,18,R
cHipp,medial,19,R
rHipp,medial,20,R
vmPu,medial,21,R
Otha,medial,22,R
PPtha,medial,23,R
cTtha,medial,24,R
dCa,medial,25,R
vCa,medial,26,R
NAC,medial,27,R
GP,medial,28,R
lPFtha,medial,29,R
mPFtha,medial,30,R
rTtha,medial,31,R
mAmyg,medial,32,R
