region,face,plot_order,Hemisphere
accumbens,lateral,1,L
caudate,lateral,2,L
thalamus,lateral,3,L
hippocampus,lateral,4,L
amygdala,lateral,5,L
putamen,lateral,6,L
putamen,medial,7,L
pallidum,medial,8,L
accumbens,medial,9,L
caudate,medial,10,L
thalamus,medial,11,L
amygdala,medial,12,L
hippocampus,medial,13,L
accumbens,lateral,14,R
caudate,lateral,15,R
thalamus,lateral,16,R
hippocampus,lateral,17,R
amygdala,lateral,18,R
putamen,lateral,19,R
putamen,medial,20,R
pallidum,medial,21,R
accumbens,medial,22,R
caudate,medial,23,R
thalamus,medial,24,R
amygdala,medial,25,R
hippocampus,medial,26,R
