region,face,plot_order,Hemisphere
Thalamus-9,lateral,1,Right
Thalamus-7,lateral,2,L
Caudate-1,lateral,3,L
Caudate-3,lateral,4,L
Amygdala-1,lateral,5,L
Caudate-2,lateral,6,L
Caudate-4,lateral,7,L
Thalamus-6,lateral,8,L
Thalamus-5,lateral,9,L
Thalamus-2,lateral,10,L
Caudate-5,lateral,11,L
Caudate-6,lateral,12,L
Caudate-7,lateral,13,L
Putamen-2,lateral,14,L
Putamen-3,lateral,15,L
Putamen-3,medial,16,L
Putamen-2,medial,17,L
Pallidum-1,medial,18,L
Thalamus-1,medial,19,L
Thalamus-5,medial,20,L
Thalamus-6,medial,21,L
Thalamus-7,medial,22,L
Thalamus-8,medial,23,L
Thalamus-2,medial,24,L
Thalamus-4,medial,25,L
Caudate-5,medial,26,L
Amygdala-1,medial,27,L
Thalamus-9,medial,28,L
Caudate-3,medial,29,L
Caudate-4,medial,30,L
Caudate-6,medial,31,L
Caudate-7,medial,32,L
Caudate-1,medial,33,L
Caudate-2,medial,34,L
Thalamus-3,medial,35,L
Thalamus-9,lateral,36,R
Thalamus-7,lateral,37,R
Caudate-1,lateral,38,R
Caudate-3,lateral,39,R
Amygdala-1,lateral,40,R
Caudate-2,lateral,41,R
Caudate-4,lateral,42,R
Thalamus-6,lateral,43,R
Thalamus-5,lateral,44,R
Thalamus-2,lateral,45,R
Caudate-5,lateral,46,R
Caudate-6,lateral,47,R
Caudate-7,lateral,48,R
Putamen-2,lateral,49,R
Putamen-3,lateral,50,R
Putamen-3,medial,51,R
Putamen-2,medial,52,R
Pallidum-1,medial,53,R
Thalamus-1,medial,54,R
Thalamus-5,medial,55,R
Thalamus-6,medial,56,R
Thalamus-7,medial,57,R
Thalamus-8,medial,58,R
Thalamus-2,medial,59,R
Thalamus-4,medial,60,R
Caudate-5,medial,61,R
Amygdala-1,medial,62,R
Thalamus-9,medial,63,R
Caudate-3,medial,64,R
Caudate-4,medial,65,R
Caudate-6,medial,66,R
Caudate-7,medial,67,R
Caudate-1,medial,68,R
Caudate-2,medial,69,R
Thalamus-3,medial,70,R
