region,face,plot_order,Hemisphere
putamen,medial,1,L
pallidum,medial,2,L
accumbens,medial,3,L
caudate,medial,4,L
thalamus_anterior,medial,5,L
amygdala,medial,6,L
hippocampus,medial,7,L
thalamus_posterior,medial,8,L
accumbens,lateral,9,L
caudate,lateral,10,L
thalamus_anterior,lateral,11,L
thalamus_posterior,lateral,12,L
hippocampus,lateral,13,L
amygdala,lateral,14,L
putamen,lateral,15,L
putamen,medial,16,R
pallidum,medial,17,R
accumbens,medial,18,R
caudate,medial,19,R
thalamus_anterior,medial,20,R
amygdala,medial,21,R
hippocampus,medial,22,R
thalamus_posterior,medial,23,R
accumbens,lateral,24,R
caudate,lateral,25,R
thalamus_anterior,lateral,26,R
thalamus_posterior,lateral,27,R
hippocampus,lateral,28,R
amygdala,lateral,29,R
putamen,lateral,30,R
