point_index,x,y,z,s1_exe_effect,s2_exe_effect
0,0.609409,-0.369422,1.415556,1.8290236505519655,3.005638575525028
1,-0.138152,0.297978,1.306667,0.4360044165523771,1.5671094976032585
2,1.284004,0.23819,1.197778,2.325394674549205,2.998970310260601
3,-0.046928,-0.84401,1.088889,0.683909758783626,1.8637505267501897
4,0.252678,1.07475,0.98,1.3159084238903649,2.5744060338160484
5,1.420157,-0.700874,0.871111,2.3582672464857755,2.901963047182848
6,1.335033,0.989166,0.653333,2.340571978630818,2.9661951682867365
7,0.493993,-1.365168,0.544444,1.6853870810435865,2.907932317315943
8,1.895818,-0.095773,0.326667,2.207244466381024,2.2522925410169954
9,0.691239,1.44852,0.108889,1.9194489139845405,3.05396598554899
10,1.280229,-1.223752,0.0,2.3241422250758497,3.001228995449294
11,1.74181,0.696573,-0.217778,2.3178270336311417,2.531965553287936
12,0.002043,-1.356149,-0.326667,0.8043646002083182,2.0059788263117593
13,-0.096626,1.286427,-0.435556,0.5529535026399515,1.7075058772230012
14,1.714216,-0.553066,-0.544444,2.3297580964100177,2.5733970566862165
15,1.073414,1.100316,-0.762222,2.2291804648797715,3.089890255504624
16,0.743867,-1.15097,-0.871111,1.9728699779020413,3.076626814795228
17,1.44229,0.147118,-1.088889,2.36122114396483,2.8832381562073035
18,-0.069832,-0.662835,-1.197778,0.6247093495496401,1.7932828894365453
19,0.424055,0.672147,-1.306667,1.5885375311886154,2.830327007085014
20,0.751109,-0.275116,-1.415556,1.9799375097256426,3.079251713228416
21,-1.06054,0.293502,1.0,-2.9033884460119754,-2.5778185780458296
22,-0.958825,-0.811807,0.733333,-2.599778575311289,-2.2055142748131003
23,-0.667803,1.019385,0.6,-1.6133894895157699,-0.982843304184021
24,-1.611714,-0.12449,0.333333,-4.32736544494308,-4.302092673684474
25,-0.440923,-1.197891,0.066667,-0.698817572799749,0.18096119896838125
26,-1.2931,0.866564,-0.066667,-3.538065762919519,-3.3512436296227
27,-1.365835,-0.720147,-0.333333,-3.723786479848896,-3.5762107622749593
28,-1.387869,0.227579,-0.733333,-3.779172877426089,-3.6431661088442366
29,-0.680304,-0.627644,-1.0,-1.6598276128293357,-1.04099707862758
30,-0.62367,0.361379,-1.133333,-1.4462611046286646,-0.7729215009792672
