region,face,plot_order,Hemisphere
putamen_posterior,medial,1,L
putamen_anterior,medial,2,L
accumbens_core,medial,3,L
accumbens_shell,medial,4,L
caudate_anterior,medial,5,L
caudate_posterior,medial,6,L
pallidum_posterior,medial,7,L
pallidum_anterior,medial,8,L
amygdala_lateral,medial,9,L
amygdala_medial,medial,10,L
hippocampus_posterior,medial,11,L
hippocampus_anterior,medial,12,L
thalamus_DP,medial,13,L
thalamus_VP,medial,14,L
thalamus_DA,medial,15,L
thalamus_VA,medial,16,L
thalamus_VA,lateral,17,L
thalamus_DA,lateral,18,L
thalamus_DP,lateral,19,L
thalamus_VP,lateral,20,L
hippocampus_posterior,lateral,21,L
hippocampus_anterior,lateral,22,L
amygdala_medial,lateral,23,L
amygdala_lateral,lateral,24,L
caudate_posterior,lateral,25,L
caudate_anterior,lateral,26,L
accumbens_core,lateral,27,L
putamen_anterior,lateral,28,L
putamen_posterior,lateral,29,L
putamen_posterior,medial,30,R
putamen_anterior,medial,31,R
accumbens_core,medial,32,R
accumbens_shell,medial,33,R
caudate_anterior,medial,34,R
caudate_posterior,medial,35,R
pallidum_posterior,medial,36,R
pallidum_anterior,medial,37,R
amygdala_lateral,medial,38,R
amygdala_medial,medial,39,R
hippocampus_posterior,medial,40,R
hippocampus_anterior,medial,41,R
thalamus_DP,medial,42,R
thalamus_VP,medial,43,R
thalamus_DA,medial,44,R
thalamus_VA,medial,45,R
thalamus_VA,lateral,46,R
thalamus_DA,lateral,47,R
thalamus_DP,lateral,48,R
thalamus_VP,lateral,49,R
hippocampus_posterior,lateral,50,R
hippocampus_anterior,lateral,51,R
amygdala_medial,lateral,52,R
amygdala_lateral,lateral,53,R
caudate_posterior,lateral,54,R
caudate_anterior,lateral,55,R
accumbens_core,lateral,56,R
putamen_anterior,lateral,57,R
putamen_posterior,lateral,58,R
