region,face,plot_order,Hemisphere
putamen_posterior,medial,1,R
putamen_anterior,medial,2,R
accumbens_core,medial,3,R
accumbens_shell,medial,4,R
caudate_anterior,medial,5,R
caudate_posterior,medial,6,R
pallidum_posterior,medial,7,R
pallidum_anterior,medial,8,R
amygdala_lateral,medial,9,R
amygdala_medial,medial,10,R
hippocampus_posterior,medial,11,R
hippocampus_anterior,medial,12,R
thalamus_DP,medial,13,R
thalamus_VP,medial,14,R
thalamus_DA,medial,15,R
thalamus_VA,medial,16,R
thalamus_VA,lateral,17,R
thalamus_DA,lateral,18,R
thalamus_DP,lateral,19,R
thalamus_VP,lateral,20,R
hippocampus_posterior,lateral,21,R
hippocampus_anterior,lateral,22,R
amygdala_medial,lateral,23,R
amygdala_lateral,lateral,24,R
caudate_posterior,lateral,25,R
caudate_anterior,lateral,26,R
accumbens_core,lateral,27,R
putamen_anterior,lateral,28,R
putamen_posterior,lateral,29,R
