region,face,plot_order,Hemisphere
Thalamus-9,lateral,1,R
Thalamus-7,lateral,2,R
Caudate-1,lateral,3,R
Caudate-3,lateral,4,R
Amygdala-1,lateral,5,R
Caudate-2,lateral,6,R
Caudate-4,lateral,7,R
Thalamus-6,lateral,8,R
Thalamus-5,lateral,9,R
Thalamus-2,lateral,10,R
Caudate-5,lateral,11,R
Caudate-6,lateral,12,R
Caudate-7,lateral,13,R
Putamen-2,lateral,14,R
Putamen-3,lateral,15,R
Putamen-3,medial,16,R
Putamen-2,medial,17,R
Pallidum-1,medial,18,R
Thalamus-1,medial,19,R
Thalamus-5,medial,20,R
Thalamus-6,medial,21,R
Thalamus-7,medial,22,R
Thalamus-8,medial,23,R
Thalamus-2,medial,24,R
Thalamus-4,medial,25,R
Caudate-5,medial,26,R
Amygdala-1,medial,27,R
Thalamus-9,medial,28,R
Caudate-3,medial,29,R
Caudate-4,medial,30,R
Caudate-6,medial,31,R
Caudate-7,medial,32,R
Caudate-1,medial,33,R
Caudate-2,medial,34,R
Thalamus-3,medial,35,R
