region,face,plot_order,Hemisphere
dCa,lateral,1,L
mAmyg,lateral,2,L
rHipp,lateral,3,L
lAmyg,lateral,4,L
cHipp,lateral,5,L
cTtha,lateral,6,L
Otha,lateral,7,L
mPMtha,lateral,8,L
PPtha,lateral,9,L
lPFtha,lateral,10,L
Stha,lateral,11,L
rTtha,lateral,12,L
vCa,lateral,13,L
NAC,lateral,14,L
vmPu,lateral,15,L
GP,lateral,16,L
cHipp,lateral,17,L
dlPu,lateral,18,L
cHipp,medial,19,L
rHipp,medial,20,L
vmPu,medial,21,L
Otha,medial,22,L
PPtha,medial,23,L
cTtha,medial,24,L
dCa,medial,25,L
vCa,medial,26,L
NAC,medial,27,L
GP,medial,28,L
lPFtha,medial,29,L
mPFtha,medial,30,L
rTtha,medial,31,L
mAmyg,medial,32,L
dCa,lateral,33,R
mAmyg,lateral,34,R
rHipp,lateral,35,R
lAmyg,lateral,36,R
cHipp,lateral,37,R
cTtha,lateral,38,R
Otha,lateral,39,R
mPMtha,lateral,40,R
PPtha,lateral,41,R
lPFtha,lateral,42,R
Stha,lateral,43,R
rTtha,lateral,44,R
vCa,lateral,45,R
NAC,lateral,46,R
vmPu,lateral,47,R
GP,lateral,48,R
cHipp,lateral,49,R
dlPu,lateral,50,R
cHipp,medial,51,R
rHipp,medial,52,R
vmPu,medial,53,R
Otha,medial,54,R
PPtha,medial,55,R
cTtha,medial,56,R
dCa,medial,57,R
vCa,medial,58,R
NAC,medial,59,R
GP,medial,60,R
lPFtha,medial,61,R
mPFtha,medial,62,R
rTtha,medial,63,R
mAmyg,medial,64,R
