  1  CH3OCO       59.046  2  3  2  0
  2  OOH          33.008  0  1  2  0
  3  CH2CHO       43.046  2  3  1  0
  4  CH3CO        43.046  2  3  1  0
  5  NCO          42.018  1  0  1  1
  6  CH3O         31.035  1  3  1  0
  7  O2           32.000  0  0  2  0
  8  CO2H         45.019  1  1  2  0
  9  HOCN         43.026  1  1  1  1
 10  C2H5         29.062  2  5  0  0
 11  CH2OH        31.035  1  3  1  0
 12  C2H6         30.070  2  6  0  0
 13  C2H3         27.046  2  3  0  0
 14  CH2CO        42.038  2  2  1  0
 15  NNH          29.022  0  1  0  2
 16  H2CN         28.034  1  2  0  1
 17  CH3OH        32.043  1  4  1  0
 18  CN           26.018  1  0  0  1
 19  1CH2         14.027  1  2  0  0
 20  HNCO         43.026  1  1  1  1
 21  O3P          16.000  0  0  1  0
 22  C2H4         28.054  2  4  0  0
 23  3CH2         14.027  1  2  0  0
 24  HCO          29.019  1  1  1  0
 25  C2H2         26.038  2  2  0  0
 26  H2CO         30.027  1  2  1  0
 27  NH2          16.023  0  2  0  1
 28  CO2          44.011  1  0  2  0
 29  OH           17.008  0  1  1  0
 30  CH3          15.035  1  3  0  0
 31  HCN          27.026  1  1  0  1
 32  NH3          17.031  0  3  0  1
 33  CH4          16.043  1  4  0  0
 34  N2           28.014  0  0  0  2
 35  CO           28.011  1  0  1  0
 36  H2O          18.016  0  2  1  0
 37  H             1.008  0  1  0  0
 38  He            4.003  0  0  0  0
 39  H2            2.016  0  2  0  0
 40  N2H2         30.030  0  2  0  2
 41  N2H3         31.038  0  3  0  2
 42  HCNH         28.034  1  2  0  1
 43  HOCHO        46.027  1  2  2  0
 44  HOCH2O       47.035  1  3  2  0
