"address","postal_code","country","federal_district","region_type","region","area_type","area","city_type","city","settlement_type","settlement","kladr_id","fias_id","fias_level","capital_marker","okato","oktmo","tax_office","timezone","geo_lat","geo_lon","population","foundation_year"
"г Москва, г Зеленоград",,"Россия","Центральный","г","Москва",,,"г","Зеленоград",,,,"ec44c0ee-bf24-41c8-9e1c-76136ab05cbf ",4,0,,,7735,"UTC+3","55.9964233","37.198534",223902,
"г Москва, г Троицк",,"Россия","Центральный","г","Москва",,,"г","Троицк",,,,"7dde11f6-f6ab-4a05-8052-78e0cab8fc59 ",4,0,45298578001,45931000,7751,"UTC+3","55.4728168","37.3017465",65991,
"г Москва, г Щербинка",,"Россия","Центральный","г","Москва",,,"г","Щербинка",,,,"b7fc1d20-41d4-44e8-af34-d635f452d74c",4,0,45297581001,45932000,7751,"UTC+3","55.5069136","37.5673544",53281,
"г Санкт-Петербург, г Зеленогорск",197720,"Россия","Северо-Западный","г","Санкт-Петербург",,,"г","Зеленогорск",,,7800000200000,"ac598324-b704-4957-a66e-e8142677981b ",4,0,40281509000,40361000,7843,"UTC+3","60.1970751","29.7071585",15322,
"г Санкт-Петербург, г Колпино",,"Россия","Северо-Западный","г","Санкт-Петербург",,,"г","Колпино",,,,"1e11a121-81c4-4b66-b11c-da8f47db2e1d",4,0,40277501000,40342000,7817,"UTC+3","59.748444","30.604479",149766,
"г Санкт-Петербург, г Красное Село",,"Россия","Северо-Западный","г","Санкт-Петербург",,,"г","Красное Село",,,,"cced82af-3bdf-4a91-ab68-d654804767c0",4,0,40279501000,40353000,7807,"UTC+3","59.7337993","30.0862468",60029,
"г Санкт-Петербург, г Кронштадт",,"Россия","Северо-Западный","г","Санкт-Петербург",,,"г","Кронштадт",,,,"7b1c7427-41b2-4ffc-bf39-550e8299b5cb",4,0,40280501000,40360000,7843,"UTC+3","59.990845","29.774652",44353,
"г Санкт-Петербург, г Ломоносов",,"Россия","Северо-Западный","г","Санкт-Петербург",,,"г","Ломоносов",,,,"3c2827f3-63f3-4692-8c74-c1318ee524fd",4,0,40290502000,40372000,7807,"UTC+3","59.91032","29.776194",43029,
"г Санкт-Петербург, г Павловск",196620,"Россия","Северо-Западный","г","Санкт-Петербург",,,"г","Павловск",,,,"5c348da7-3a1e-47fe-be8d-52bac0887cd4",4,0,40294502000,40387000,7817,"UTC+3","59.684853","30.433264",17409,
"г Санкт-Петербург, г Петергоф",,"Россия","Северо-Западный","г","Санкт-Петербург",,,"г","Петергоф",,,,"8f238984-812b-4bb1-850b-49749fb5c56d",4,0,40290501000,40395000,7807,"UTC+3","59.881847","29.912041",84930,
"г Санкт-Петербург, г Пушкин",,"Россия","Северо-Западный","г","Санкт-Петербург",,,"г","Пушкин",,,,"110d6ad9-0b64-47cf-a2ee-7e935228799c",4,0,40294501000,40397000,7817,"UTC+3","59.722256","30.415731",112978,
"г Санкт-Петербург, г Сестрорецк",,"Россия","Северо-Западный","г","Санкт-Петербург",,,"г","Сестрорецк",,,,"ee5e852c-1a4a-4aee-919a-54473a76fa4d",4,0,40281520000,40362000,7843,"UTC+3","60.0981084","29.9597606",43060,
